Situação;Tomador;Razão Social;Emissor;Número;RPS;nº RPS;Serviço(R$);Desc.Cond(R$);B.C.(R$);Total(R$);Alíq.(%);ISSQN(R$);Retido;Emissão;Comp.;Exigibilidade;Incidência;Atividade;Tipo;Débito;Opções
Normal;39.427.632/0001-71;ASSOCIACAO PETROBRAS DE SAUDE - APS;Sistema;2026000000014;SIM;202600016;34.654,16;0,00;34.654,16;34.654,16;5,00;1.732,71;NÃO;31/07/2026;7/2026;Exigível;Aracaju/SE;0421;Normal;Aberto;119086496
Normal;01.685.053/0001-56;SUL AMERICA COMPANHIA DE SEGURO SAUDE;06439194810;2026000000013;NÃO;0;33.381,37;0,00;33.381,37;33.381,37;5,00;1.669,07;NÃO;21/07/2026;7/2026;Exigível;Aracaju/SE;0421;Normal;Aberto;118805072
