Relatório de Serviços Prestados
Inscrição Municipal: 0759971700286 Período Inicial: 01/06/2026 Período Final: 30/06/2026
Data Emissão;Documento;N°;CPF/CNPJ Tomador;Natureza Operação;Valor Documento;Valor Tributável;Alíquota;Imposto Retido;Tributado no Município;Status Recurso ISSQN;PIS;COFINS;CSLL;IRRF;INSS;OUTRAS RETENÇÕES;DESCONTO CONDICIONADO;DESCONTO INCONDICIONADO;DEDUCAO BASE CACULO;ITEM LC 116;CNAE;Valor Imposto;Pago;Aceite Tomador;Data Aceite
23/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2780;04.487.255/0001-81;Exigível;44254,40;44254,40;2,00;Não;Sim;;287,65;1327,63;442,54;;;;;;;421;8712300;885,09;Não;Não;
23/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2781;04.487.255/0001-81;Exigível;16500,00;16500,00;2,00;Não;Sim;;107,25;495,00;165,00;;;;;;;421;8712300;330,00;Não;Não;
23/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2782;04.487.255/0001-81;Exigível;12324,24;12324,24;2,00;Não;Sim;;80,11;369,73;123,24;;;;;;;421;8712300;246,48;Não;Não;
23/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2783;04.487.255/0001-81;Exigível;2731,77;2731,77;2,00;Não;Sim;;17,76;81,95;27,32;;;;;;;421;8712300;54,64;Não;Não;
24/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2784;15.011.651/0001-54;Anulada;63708,16;63708,16;2,00;Não;Sim;;;;;;;;;;;421;8712300;1274,16;Não;Não;
24/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2785;92.693.118/0001-60;Exigível;57381,12;57381,12;2,00;Não;Sim;;;;;;;;;;;421;8712300;1147,62;Não;Não;
24/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2786;15.011.651/0001-54;Exigível;62434,00;62434,00;2,00;Não;Sim;;;;;;;;;;;421;8712300;1248,68;Não;Não;
26/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2787;92.693.118/0001-60;Exigível;5379,69;5379,69;2,00;Não;Sim;;;;;;;;;;;421;8712300;107,59;Não;Não;
29/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2788;92.693.118/0001-60;Exigível;95711,47;95711,47;2,00;Não;Sim;;;;;;;;;;;421;8712300;1914,23;Não;Não;
29/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2789;15.011.651/0001-54;Exigível;13049,30;13049,30;2,00;Não;Sim;;;;;;;;;;;421;8712300;260,99;Não;Não;
29/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2790;39.427.632/0001-71;Anulada;72144,12;72144,12;2,00;Não;Sim;;468,94;2164,32;721,44;;;;;;;421;8712300;1442,88;Não;Não;
29/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2791;02.812.468/0001-06;Anulada;30142,54;30142,54;2,00;Não;Sim;;195,93;904,28;301,43;;;;;;;421;8712300;602,85;Não;Não;
30/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2792;39.427.632/0001-71;Operação tributável;72144,12;72144,12;2;Não;Sim;;468,94;2164,32;721,44;1082,16;;;;;;421;;1442,88;Não;Não;
30/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2793;92.693.118/0001-60;Exigível;38250,23;38250,23;2,00;Não;Sim;;;;;;;;;;;421;8712300;765,00;Não;Não;
30/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2794;15.011.651/0001-54;Exigível;23281,35;23281,35;2,00;Não;Sim;;;;;;;;;;;421;8712300;465,63;Não;Não;
30/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2795;01.685.053/0006-60;Operação tributável;808589,35;808589,35;2;Sim;Sim;;5255,83;24257,68;8085,89;12128,84;;;;;;421;;16171,79;Verificar junto ao tomador;Sim;14/07/2026
30/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2796;01.685.053/0006-60;Anulada;61743,00;61743,00;2;Sim;Sim;;401,33;1852,29;617,43;926,15;;;;;;421;;1234,86;Não;Não;
30/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2797;02.866.602/0001-51;Operação tributável;61743,00;61743,00;2;Não;Sim;;401,33;1852,29;617,43;926,15;;;;;;421;;1234,86;Não;Não;
